date;price;dix;gex
21/05/2012;131598999;4,45945E+15;4,99778E+12
22/05/2012;1316630005;4,57412E+15;5,52166E+12
23/05/2012;1318859985;4,63389E+14;7,86424E+12
24/05/2012;1320680054;4,62337E+15;7,56275E+12
25/05/2012;1317819946;4,45284E+14;5,22649E+12
29/05/2012;1332420044;4,39827E+15;8,93471E+12
30/05/2012;1313319946;4,68596E+15;7,39225E+12
31/05/2012;1310329956;4,68428E+16;7,0536E+12
01/06/2012;1278040039;4,68816E+16;32854518320
04/06/2012;1278180054;4,32497E+16;1,12625E+12
05/06/2012;12855;4,59361E+16;2,27443E+12
06/06/2012;1315130005;4,38661E+16;9,17404E+12
07/06/2012;131498999;4,36468E+16;9,11195E+12
08/06/2012;1325660034;4,55917E+16;1,09235E+13
11/06/2012;1308930054;4,81045E+15;6,00861E+12
12/06/2012;1324180054;4,6845E+16;1,00229E+13
13/06/2012;1314880005;4,93659E+16;6,21053E+12
14/06/2012;1329099976;4,57118E+16;8,53415E+12
15/06/2012;1342839966;4,27043E+15;1,58585E+13
18/06/2012;1344780029;4,36563E+16;1,37848E+13
19/06/2012;135797998;4,36886E+16;1,69986E+13
20/06/2012;1355689941;4,23885E+15;1,64228E+13
21/06/2012;132551001;4,52301E+15;8,15506E+12
22/06/2012;133502002;4,50757E+15;1,17371E+13
25/06/2012;1313719971;4,41823E+16;7,33649E+12
26/06/2012;131998999;4,48756E+16;9,09516E+12
27/06/2012;1331849976;4,26649E+15;1,11517E+13
28/06/2012;1329040039;4,40784E+16;8,12546E+12
29/06/2012;1362160034;4,13238E+16;1,80786E+13
02/07/2012;136551001;4,12606E+15;2,07771E+13
03/07/2012;137402002;3,90983E+16;2,45666E+13
05/07/2012;1367579956;4,26481E+16;2,47347E+13
06/07/2012;1354680054;4,36077E+15;1,79628E+13
09/07/2012;1352459961;4,20281E+16;1,98566E+13
10/07/2012;1341469971;4,42498E+16;1,58623E+13
11/07/2012;1341449951;4,20723E+15;1,44957E+13
12/07/2012;133476001;4,32421E+14;1,09835E+13
13/07/2012;1356780029;4,40963E+14;2,02815E+13
16/07/2012;1353640015;4,36274E+15;2,06202E+13
17/07/2012;1363670044;4,5143E+16;2,41873E+13
18/07/2012;1372780029;4,36627E+14;2,55313E+13
19/07/2012;137651001;4,41872E+15;3,09787E+13
20/07/2012;1362660034;4,64461E+16;1,37999E+13
23/07/2012;135052002;4,43219E+14;0
24/07/2012;1338310059;4,31072E+16;9,83971E+12
25/07/2012;1337890015;4,30703E+16;5,53912E+12
26/07/2012;136002002;4,21724E+16;1,11434E+13
27/07/2012;1385969971;4,24714E+15;1,81783E+13
30/07/2012;1385300049;4,28437E+15;2,0683E+13
31/07/2012;1379319946;4,28534E+16;2,21039E+13
01/08/2012;1375319946;4,57859E+13;1,93895E+13
02/08/2012;13650;4,64334E+16;1,7269E+13
03/08/2012;139098999;3,90105E+15;2,36686E+13
06/08/2012;139422998;4,23803E+15;2,60016E+13
07/08/2012;1401349976;4,11676E+15;2,86817E+13
08/08/2012;1402219971;4,26888E+16;2,72486E+13
09/08/2012;1402800049;4,39395E+16;2,58951E+13
10/08/2012;1405869995;4,28783E+15;2,57403E+13
13/08/2012;1404109985;4,46491E+15;2,7159E+13
14/08/2012;1403930054;4,29195E+16;2,87683E+13
15/08/2012;1405530029;4,32183E+16;2,77302E+13
16/08/2012;141551001;4,26202E+15;3,42687E+13
17/08/2012;1418160034;3,98142E+16;4,0283E+13
20/08/2012;1418130005;4,13355E+16;2,34841E+13
21/08/2012;1413170044;4,18816E+16;2,11677E+13
22/08/2012;141348999;4,08272E+16;2,47016E+13
23/08/2012;1402079956;4,33468E+16;2,0934E+13
24/08/2012;1411130005;4,1261E+16;2,16208E+13
27/08/2012;1410439941;4,38513E+15;2,40291E+13
28/08/2012;1409300049;4,47268E+16;2,4449E+13
29/08/2012;141048999;4,48132E+16;2,45077E+13
30/08/2012;139947998;4,51029E+15;1,71344E+13
31/08/2012;1406579956;4,4626E+15;2,15986E+13
04/09/2012;1404939941;4,45828E+15;2,36633E+13
05/09/2012;1403439941;4,50947E+15;2,18489E+13
06/09/2012;1432119995;4,2191E+15;3,38325E+13
07/09/2012;1437920044;4,20361E+15;3,21313E+13
10/09/2012;1429079956;3,98505E+16;2,68856E+13
11/09/2012;1433560059;3,83375E+15;2,75113E+13
