DATE;OPEN;HIGH;LOW;CLOSE
08/29/2002;35420000;35420000;33210000;33670000
08/30/2002;33640000;33640000;31930000;32640000
09/03/2002;37120000;39970000;37120000;39970000
09/04/2002;39210000;39710000;37050000;37440000
09/05/2002;39580000;40410000;38210000;38860000
09/06/2002;36880000;37350000;35990000;36330000
09/09/2002;39100000;39630000;36040000;36450000
09/10/2002;35980000;35980000;35080000;35080000
09/11/2002;35980000;34810000;33720000;34810000
09/12/2002;36240000;37740000;36100000;37500000
09/13/2002;38220000;38520000;35820000;35820000
09/16/2002;37340000;38550000;36640000;36740000
09/17/2002;35870000;38060000;35790000;38010000
09/18/2002;38680000;39710000;36960000;37520000
09/19/2002;39920000;40700000;38920000;40650000
09/20/2002;39930000;40230000;38720000;38980000
09/23/2002;40780000;41180000;39260000;39680000
09/24/2002;40950000;41340000;39570000;40520000
09/25/2002;39650000;39920000;36790000;37330000
09/26/2002;36090000;36150000;34600000;34600000
09/27/2002;35070000;36970000;33960000;36970000
09/30/2002;41070000;41860000;38890000;39690000
10/01/2002;37250000;37610000;33770000;34120000
10/02/2002;35160000;36970000;34420000;36830000
10/03/2002;37330000;37750000;36110000;37310000
10/04/2002;39180000;40290000;38670000;39460000
10/07/2002;41650000;42950000;41040000;42640000
10/08/2002;42090000;43440000;39960000;41020000
10/09/2002;42250000;42580000;41210000;42130000
10/10/2002;39130000;39390000;37540000;37550000
10/11/2002;36360000;36530000;35200000;35700000
10/14/2002;36920000;37180000;36020000;36040000
10/15/2002;34360000;34710000;33790000;34020000
10/16/2002;34910000;36270000;34910000;36000000
10/17/2002;34770000;35130000;33930000;34100000
10/18/2002;34600000;34730000;33340000;33530000
10/21/2002;35340000;35550000;33000000;33110000
10/22/2002;34390000;34760000;33610000;34090000
10/23/2002;34060000;35610000;33200000;33200000
10/24/2002;32990000;34430000;32530000;34030000
10/25/2002;33370000;33370000;29880000;30000000
10/28/2002;30780000;31670000;30310000;31070000
10/29/2002;31530000;33530000;31530000;32270000
10/30/2002;32500000;32500000;30790000;31230000
10/31/2002;31570000;31570000;29690000;31140000
11/01/2002;31570000;31700000;28620000;29300000
11/04/2002;29810000;30900000;28830000;30820000
11/05/2002;31010000;31720000;30430000;31230000
11/06/2002;31890000;32600000;30710000;30730000
11/07/2002;31420000;31850000;30760000;31420000
11/08/2002;30390000;31030000;29100000;29410000
11/11/2002;30630000;31640000;30410000;31300000
11/12/2002;31090000;31200000;29750000;30580000
11/13/2002;31210000;31900000;30500000;31240000
11/14/2002;29690000;29760000;28650000;28670000
11/15/2002;27920000;28230000;26440000;26650000
11/18/2002;27090000;27660000;26730000;27660000
11/19/2002;28120000;28150000;26630000;27410000
11/20/2002;26930000;26930000;25060000;25320000
11/21/2002;24600000;24750000;23410000;23810000
11/22/2002;23990000;24220000;23050000;23160000
11/25/2002;23920000;25420000;23620000;24070000
11/26/2002;24560000;26150000;24560000;25970000
11/27/2002;25150000;27420000;23970000;27250000
11/29/2002;27100000;27700000;26840000;27500000
12/02/2002;28350000;28610000;27280000;27460000
12/03/2002;27790000;28410000;27470000;28330000
12/04/2002;29100000;29510000;28270000;28920000
12/05/2002;29500000;30200000;29260000;30100000
12/06/2002;30640000;30640000;28770000;28880000
12/09/2002;30070000;31200000;29990000;30780000
12/10/2002;30440000;30490000;28650000;28760000
12/11/2002;28920000;29000000;27550000;27760000
12/12/2002;27950000;28160000;27230000;27290000
12/13/2002;28010000;28670000;27560000;28180000
12/16/2002;28250000;28290000;26220000;26240000
12/17/2002;26250000;26820000;25900000;26660000
12/18/2002;27290000;28550000;27290000;28290000
12/19/2002;28260000;30840000;27880000;30210000
12/20/2002;28590000;28750000;26590000;26710000
12/23/2002;27610000;27690000;25870000;26200000
12/24/2002;26390000;26820000;26380000;26490000
12/26/2002;26320000;27570000;26160000;27370000
12/27/2002;27720000;29970000;27520000;29550000
12/30/2002;30690000;30830000;29470000;29620000
12/31/2002;29080000;29620000;28600000;28620000
01/02/2003;28740000;28740000;25320000;25390000
01/03/2003;25550000;25550000;24680000;24680000
01/06/2003;25320000;25420000;24290000;24910000
01/07/2003;25130000;25690000;24910000;25130000
01/08/2003;25620000;25760000;25070000;25530000
01/09/2003;24900000;24900000;24020000;24250000
01/10/2003;24620000;24690000;24150000;24320000
01/13/2003;24950000;25480000;24680000;24900000
01/14/2003;25010000;25090000;24380000;24570000
01/15/2003;24850000;26010000;24850000;25510000
01/16/2003;24920000;25800000;24690000;25010000
01/17/2003;25390000;26000000;25200000;25700000
01/21/2003;26750000;27700000;26730000;27590000
01/22/2003;28160000;29080000;27770000;29010000
01/23/2003;28720000;29190000;27350000;27530000
01/24/2003;28470000;32410000;28450000;31510000
01/27/2003;33310000;35330000;32970000;34690000
01/28/2003;34420000;34470000;31820000;31930000
01/29/2003;32450000;33240000;31050000;31260000
01/30/2003;31380000;31500000;30660000;31320000
01/31/2003;31150000;31660000;30610000;31170000
02/03/2003;32450000;32450000;30870000;31020000
02/04/2003;32740000;33370000;32700000;32760000
02/05/2003;32760000;33220000;31980000;33040000
02/06/2003;34030000;34240000;33120000;33350000
02/07/2003;33300000;34310000;33190000;34010000
02/10/2003;35210000;35660000;33990000;33990000
02/11/2003;33180000;33970000;32720000;33680000
02/12/2003;33880000;34330000;33770000;34330000
02/13/2003;34990000;35200000;33330000;33700000
02/14/2003;33740000;33940000;32420000;32620000
02/18/2003;32120000;32120000;31110000;31110000
02/19/2003;31170000;31720000;31130000;31310000
02/20/2003;30970000;31270000;30860000;31160000
02/21/2003;30980000;31650000;30160000;30250000
02/24/2003;31460000;32310000;31460000;31980000
02/25/2003;32710000;33060000;31600000;31740000
02/26/2003;32120000;32210000;31750000;31940000
02/27/2003;31760000;31850000;30470000;30530000
02/28/2003;29840000;29840000;29060000;29630000
03/03/2003;29780000;30520000;29710000;30430000
03/04/2003;31050000;31980000;30980000;31830000
